# extern_census.tsv — GENERATED by scripts/extract/gen_extern_census.sh.
# Oracle: leanprover/lean4 v4.32.0 commit 8c9756b28d64dab099da31a4c09229a9e6a2ef35 (verified against SUITE.lock).
# Pin-verified environment walk over the full `Lean` import closure
# (plan Appendix C). Regenerate with the script; never edit by hand (Rule D5).
schema fln-extern-census/1
extern_count	954
constant_count	204543
columns	name	kind	module	arity	level_params	entries
extern	ISize.decLe	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_dec_le
extern	ISize.decLt	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_dec_lt
extern	ISize.div	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_div
extern	ISize.land	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_land
extern	ISize.lor	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_lor
extern	ISize.mod	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_mod
extern	ISize.mul	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_mul
extern	ISize.neg	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_neg
extern	ISize.ofInt	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_of_int
extern	ISize.ofNat	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_of_nat
extern	ISize.shiftLeft	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_shift_left
extern	ISize.shiftRight	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_shift_right
extern	ISize.sub	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_sub
extern	ISize.toFloat	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_isize_to_float
extern	ISize.toFloat32	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_isize_to_float32
extern	ISize.toInt	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_to_int
extern	ISize.toInt16	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_to_int16
extern	ISize.toInt32	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_to_int32
extern	ISize.toInt64	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_to_int64
extern	ISize.toInt8	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_isize_to_int8
extern	ISize.xor	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_isize_xor
extern	Int.add	defn	Init.Data.Int.Basic	2	0	standard:all:lean_int_add
extern	Int.decEq	defn	Init.Data.Int.Basic	2	0	standard:all:lean_int_dec_eq
extern	Int.decLe	defn	Init.Data.Int.Basic	2	0	standard:all:lean_int_dec_le
extern	Int.decLt	defn	Init.Data.Int.Basic	2	0	standard:all:lean_int_dec_lt
extern	Int.decNonneg	defn	Init.Data.Int.Basic	1	0	standard:all:lean_int_dec_nonneg
extern	Int.divExact	defn	Init.Data.Int.DivMod.Basic	3	0	standard:all:lean_int_div_exact
extern	Int.ediv	defn	Init.Data.Int.DivMod.Basic	2	0	standard:all:lean_int_ediv
extern	Int.emod	defn	Init.Data.Int.DivMod.Basic	2	0	standard:all:lean_int_emod
extern	Int.mul	defn	Init.Data.Int.Basic	2	0	standard:all:lean_int_mul
extern	Int.natAbs	defn	Init.Data.Int.Basic	1	0	standard:all:lean_nat_abs
extern	Int.neg	defn	Init.Data.Int.Basic	1	0	standard:all:lean_int_neg
extern	Int.negSucc	ctor	Init.Data.Int.Basic	1	0	standard:all:lean_int_neg_succ_of_nat
extern	Int.ofNat	ctor	Init.Data.Int.Basic	1	0	standard:all:lean_nat_to_int
extern	Int.sub	defn	Init.Data.Int.Basic	2	0	standard:all:lean_int_sub
extern	Int.tdiv	defn	Init.Data.Int.DivMod.Basic	2	0	standard:all:lean_int_div
extern	Int.tmod	defn	Init.Data.Int.DivMod.Basic	2	0	standard:all:lean_int_mod
extern	Int16.abs	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_abs
extern	Int16.add	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_add
extern	Int16.complement	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_complement
extern	Int16.decEq	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_dec_eq
extern	Int16.decLe	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_dec_le
extern	Int16.decLt	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_dec_lt
extern	Int16.div	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_div
extern	Int16.land	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_land
extern	Int16.lor	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_lor
extern	Int16.mod	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_mod
extern	Int16.mul	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_mul
extern	Int16.neg	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_neg
extern	Int16.ofInt	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_of_int
extern	Int16.ofNat	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_of_nat
extern	Int16.shiftLeft	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_shift_left
extern	Int16.shiftRight	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_shift_right
extern	Int16.sub	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_sub
extern	Int16.toFloat	opaque	Init.Data.SInt.Float	1	0	standard:all:lean_int16_to_float
extern	Int16.toFloat32	opaque	Init.Data.SInt.Float32	1	0	standard:all:lean_int16_to_float32
extern	Int16.toISize	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_to_isize
extern	Int16.toInt	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_to_int
extern	Int16.toInt32	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_to_int32
extern	Int16.toInt64	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_to_int64
extern	Int16.toInt8	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int16_to_int8
extern	Int16.xor	defn	Init.Data.SInt.Basic	2	0	standard:all:lean_int16_xor
extern	Int32.abs	defn	Init.Data.SInt.Basic	1	0	standard:all:lean_int32_abs
